question_id,scene_id,image_path,split,question_type,difficulty,visibility,seabed_texture,ood_axis,length_scale,range_setting_m,meters_per_pixel,question,choice_a,choice_b,choice_c,choice_d,answer_label
q_67b16825e13a32,scene_0005,images/scene_0005.png,train,burial_compliance,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,A
q_5f5674de329267,scene_0005,images/scene_0005.png,train,intervention_priority,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_be5e25ee1a76ae,scene_0006,images/scene_0006.png,train,exposure_delta_bin,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_fd8c641f41b397,scene_0006,images/scene_0006.png,train,new_risk_sector,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,A
q_8c98a4f94d6bf2,scene_0006,images/scene_0006.png,train,new_scar_count,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_a20fdad9c879e6,scene_0006,images/scene_0006.png,train,new_crossing_threat,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_98f6f9d1dc16fa,scene_0006,images/scene_0006.png,train,burial_compliance,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_bd383a75fd3378,scene_0006,images/scene_0006.png,train,intervention_priority,medium,clear,rippled,in_distribution,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_f55c3217d7c784,scene_0007,images/scene_0007.png,train,exposure_delta_bin,easy,clear,flat,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_a19142988b36c6,scene_0007,images/scene_0007.png,train,new_risk_sector,easy,clear,flat,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,C
q_798c8f5e807ff6,scene_0007,images/scene_0007.png,train,new_scar_count,easy,clear,flat,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_b6723415051d9e,scene_0007,images/scene_0007.png,train,new_crossing_threat,easy,clear,flat,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,B
q_a44ea62f6f97a5,scene_0007,images/scene_0007.png,train,burial_compliance,easy,clear,flat,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_949d4d0bde69ff,scene_0007,images/scene_0007.png,train,intervention_priority,easy,clear,flat,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_ced24a7bfa5efd,scene_0008,images/scene_0008.png,train,exposure_delta_bin,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_f748a8e440ae18,scene_0008,images/scene_0008.png,train,new_risk_sector,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_a9e7c74d69e3b9,scene_0008,images/scene_0008.png,train,new_scar_count,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_acb71e2aa56995,scene_0008,images/scene_0008.png,train,new_crossing_threat,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_473cb19ca52358,scene_0008,images/scene_0008.png,train,burial_compliance,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,A
q_941522cbd4eeb5,scene_0008,images/scene_0008.png,train,intervention_priority,medium,low_gain,vegetated,mild_clutter,medium_range,64.0,0.125,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_89513757f4a947,scene_0009,images/scene_0009.png,train,exposure_delta_bin,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_de0504e2a5dca4,scene_0009,images/scene_0009.png,train,new_risk_sector,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_e801b654d467e0,scene_0009,images/scene_0009.png,train,new_scar_count,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,B
q_fdf0d9c60a2f7e,scene_0009,images/scene_0009.png,train,new_crossing_threat,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_13c771277a750d,scene_0009,images/scene_0009.png,train,burial_compliance,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,A
q_b7212e62bc4dd9,scene_0009,images/scene_0009.png,train,intervention_priority,medium,low_gain,vegetated,in_distribution,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_c45ca56f670983,scene_0010,images/scene_0010.png,train,exposure_delta_bin,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_4e86e906314425,scene_0010,images/scene_0010.png,train,new_risk_sector,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,C
q_8a3283562fe851,scene_0010,images/scene_0010.png,train,new_scar_count,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_851802f0a7bfc8,scene_0010,images/scene_0010.png,train,new_crossing_threat,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,D
q_06cab50cf43b60,scene_0010,images/scene_0010.png,train,burial_compliance,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,A
q_2c3d2f0b6dffa0,scene_0010,images/scene_0010.png,train,intervention_priority,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_00e4fa00128e09,scene_0011,images/scene_0011.png,train,exposure_delta_bin,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,A
q_4e537e7d54afdc,scene_0011,images/scene_0011.png,train,new_risk_sector,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_7cc1fd832d5988,scene_0011,images/scene_0011.png,train,new_scar_count,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,B
q_1dc881ae4d7484,scene_0011,images/scene_0011.png,train,new_crossing_threat,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_ea75295c77cc8e,scene_0011,images/scene_0011.png,train,burial_compliance,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_02fc90b6d0b473,scene_0011,images/scene_0011.png,train,intervention_priority,medium,multipath,rippled,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_deb5a75cae98a0,scene_0012,images/scene_0012.png,train,exposure_delta_bin,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,A
q_81f2eafd7250c5,scene_0012,images/scene_0012.png,train,new_risk_sector,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,D
q_d912f8359d2fb5,scene_0012,images/scene_0012.png,train,new_scar_count,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_7bd973835463a0,scene_0012,images/scene_0012.png,train,new_crossing_threat,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_aa8194117ef845,scene_0012,images/scene_0012.png,train,burial_compliance,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,C
q_93d3874dd49de8,scene_0012,images/scene_0012.png,train,intervention_priority,medium,speckled,rippled,in_distribution,long_range,81.9,0.16,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_1b3f84a3941969,scene_0013,images/scene_0013.png,train,exposure_delta_bin,hard,clear,flat,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_23afc3caf8b908,scene_0013,images/scene_0013.png,train,new_risk_sector,hard,clear,flat,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,A
q_07469bd82b28c0,scene_0013,images/scene_0013.png,train,new_scar_count,hard,clear,flat,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_b002d311eddca9,scene_0013,images/scene_0013.png,train,new_crossing_threat,hard,clear,flat,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,D
q_a350821a8a340e,scene_0013,images/scene_0013.png,train,burial_compliance,hard,clear,flat,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_5299f041cc15d1,scene_0013,images/scene_0013.png,train,intervention_priority,hard,clear,flat,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_5ce1c19b564dc0,scene_0014,images/scene_0014.png,train,exposure_delta_bin,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_4068582a6855d0,scene_0014,images/scene_0014.png,train,new_risk_sector,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,C
q_e09f836f35c32e,scene_0014,images/scene_0014.png,train,new_scar_count,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_a4e1f8a7735225,scene_0014,images/scene_0014.png,train,new_crossing_threat,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,D
q_1769265f3ad0af,scene_0014,images/scene_0014.png,train,burial_compliance,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_303d9341b58733,scene_0014,images/scene_0014.png,train,intervention_priority,hard,speckled,flat,mild_speckle,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_d30bf86a297898,scene_0015,images/scene_0015.png,train,exposure_delta_bin,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_7c6dd992d67b1f,scene_0015,images/scene_0015.png,train,new_risk_sector,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_5668184fdc5c12,scene_0015,images/scene_0015.png,train,new_scar_count,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_abeb3cf3873e5e,scene_0015,images/scene_0015.png,train,new_crossing_threat,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_6b25f94b04f708,scene_0015,images/scene_0015.png,train,burial_compliance,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_f06fa2f669ade5,scene_0015,images/scene_0015.png,train,intervention_priority,hard,low_gain,rocky,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_00fa2531f23f28,scene_0016,images/scene_0016.png,train,exposure_delta_bin,easy,clear,flat,mild_clutter,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_62c79bd486ad44,scene_0016,images/scene_0016.png,train,new_risk_sector,easy,clear,flat,mild_clutter,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,C
q_47a5b0bce32bfb,scene_0016,images/scene_0016.png,train,new_scar_count,easy,clear,flat,mild_clutter,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_5d78294fa0586a,scene_0016,images/scene_0016.png,train,new_crossing_threat,easy,clear,flat,mild_clutter,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_6506c785250748,scene_0016,images/scene_0016.png,train,burial_compliance,easy,clear,flat,mild_clutter,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_5435d250c4ddf1,scene_0016,images/scene_0016.png,train,intervention_priority,easy,clear,flat,mild_clutter,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_b21bb6034151f6,scene_0017,images/scene_0017.png,train,exposure_delta_bin,easy,multipath,flat,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_cf35a84143b6f1,scene_0017,images/scene_0017.png,train,new_risk_sector,easy,multipath,flat,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_c7507a5c4bb7c3,scene_0017,images/scene_0017.png,train,new_scar_count,easy,multipath,flat,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_618f6a6efc56e7,scene_0017,images/scene_0017.png,train,new_crossing_threat,easy,multipath,flat,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_f2de854b7a5fcd,scene_0017,images/scene_0017.png,train,burial_compliance,easy,multipath,flat,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
